"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",10.4840002059937,8.55533313751221,34.7156867980957,604.496032714844,24.3479995727539,-0.296000003814697,24.6439990997314,16.6326675415039,6.30533313751221,18.1433334350586,3.30266666412354,708,78,43,17.4801483154297,222,147,215,153
"2",10.4840002059937,8.55533313751221,34.7156867980957,604.496032714844,24.3479995727539,-0.296000003814697,24.6439990997314,16.6326675415039,6.30533313751221,18.1433334350586,3.30266666412354,708,78,43,17.4801483154297,222,147,215,153
"3",10.4840002059937,8.55533313751221,34.7156867980957,604.496032714844,24.3479995727539,-0.296000003814697,24.6439990997314,16.6326675415039,6.30533313751221,18.1433334350586,3.30266666412354,708,78,43,17.4801483154297,222,147,215,153
"4",10.154333114624,8.20399951934814,38.2935028076172,496.331665039062,22.492000579834,1.067999958992,21.423999786377,10.7379999160767,6.39400005340576,16.4646663665771,4.44600009918213,559,54,33,13.3955965042114,158,118,144,129
"5",10.154333114624,8.20399951934814,38.2935028076172,496.331665039062,22.492000579834,1.067999958992,21.423999786377,10.7379999160767,6.39400005340576,16.4646663665771,4.44600009918213,559,54,33,13.3955965042114,158,118,144,129
"6",4.92316675186157,9.17966651916504,33.2789535522461,668.367919921875,20.8479995727539,-6.73600006103516,27.5839996337891,-2.50799989700317,13.1539993286133,13.1539993286133,-3.02533316612244,1343,203,51,47.6876945495605,554,165,165,469
"7",11.1494998931885,9.94166660308838,33.285343170166,745.277221679688,27.2040004730225,-2.66400003433228,29.8680000305176,11.3493337631226,3.47333335876465,20.1793327331543,1.76266670227051,1049,106,58,18.8481712341309,309,191,298,200
"8",8.0605001449585,8.88700008392334,31.5052471160889,729.998840332031,23.3279991149902,-4.88000011444092,28.2080001831055,17.0799999237061,0.455999970436096,17.0799999237061,-0.925333321094513,632,87,33,35.007740020752,241,110,241,110
"9",7.91087961196899,6.55138874053955,27.8256244659424,608.239196777344,19.8666667938232,-3.6777777671814,23.5444450378418,8.73518466949463,2.73981475830078,15.5583333969116,0.845370352268219,622,65,33,22.4218997955322,194,106,174,121
"10",9.37116622924805,9.95100021362305,32.915454864502,770.2451171875,25.1319999694824,-5.09999990463257,30.2320003509521,18.6313323974609,-0.380666643381119,18.6313323974609,-0.380666643381119,970,123,34,36.924919128418,364,132,364,132
"11",9.37116622924805,9.95100021362305,32.915454864502,770.2451171875,25.1319999694824,-5.09999990463257,30.2320003509521,18.6313323974609,-0.380666643381119,18.6313323974609,-0.380666643381119,970,123,34,36.924919128418,364,132,364,132
"12",13.7781667709351,9.51033306121826,43.2759971618652,466.204437255859,25.4839992523193,3.50799989700317,21.9759998321533,9.04533386230469,17.8020000457764,19.6520004272461,8.36200046539307,1231,145,56,26.6476879119873,408,207,276,376
"13",5.62266683578491,7.82800006866455,31.4630222320557,655.162475585938,19.1319999694824,-5.7480001449585,24.8800010681152,13.7666664123535,0.975333273410797,13.7666664123535,-2.17199993133545,1101,128,66,19.6081218719482,340,222,340,281
"14",9.5629997253418,9.64466667175293,32.5569343566895,755.263732910156,25.5880012512207,-4.03599977493286,29.6240005493164,18.8613338470459,0.265333384275436,18.8613338470459,0.265333384275436,515,80,18,48.0141677856445,217,65,217,65
"15",9.5629997253418,9.64466667175293,32.5569343566895,755.263732910156,25.5880012512207,-4.03599977493286,29.6240005493164,18.8613338470459,0.265333384275436,18.8613338470459,0.265333384275436,515,80,18,48.0141677856445,217,65,217,65
"16",9.41183376312256,5.70699977874756,38.0669708251953,357.341949462891,17.5319995880127,2.53999996185303,14.9919996261597,7.87866687774658,10.3013334274292,13.9433336257935,5.37933349609375,1611,178,91,25.3906631469727,528,279,375,475
"17",9.41183376312256,5.70699977874756,38.0669708251953,357.341949462891,17.5319995880127,2.53999996185303,14.9919996261597,7.87866687774658,10.3013334274292,13.9433336257935,5.37933349609375,1611,178,91,25.3906631469727,528,279,375,475
